id,d100,slug,name_ru,name_en,description_source,icon,icon_transparent,icon_check,icon_check_note
01,1,mummified-goblin-hand,Мумифицированная рука гоблина,A mummified goblin hand,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/01-mummified-goblin-hand.png,icons/painted/transparent/01-mummified-goblin-hand.png,ok,Высохшая рука с когтями и бинтом на запястье. Соответствует: «мумифицированная рука». Лишних предметов нет.
02,2,moonlight-crystal,"Кусочек кристалла, слабо светящийся в лунном свете",A piece of crystal that faintly glows in the moonlight,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/02-moonlight-crystal.png,icons/painted/transparent/02-moonlight-crystal.png,fixed,"Было: кристаллы на каменной подставке с ореолом свечения. Убрано, потому что в описании только «кусочек кристалла»: теперь один кристальный осколок, лунный свет — блики на гранях, без подставки и без ореола."
06,6,glass-chess-piece,Старая стеклянная шахматная фигура,An old chess piece made from glass,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/06-glass-chess-piece.png,icons/painted/transparent/06-glass-chess-piece.png,ok,Стеклянный слон с потёртым основанием. Соответствует: шахматная фигура из стекла.
07,7,skull-knucklebones,"Пара игральных костей, у обеих вместо шестёрок нарисованы черепа","A pair of knucklebone dice, each with a skull symbol on the side that would normally show six pips","«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/07-skull-knucklebones.png,icons/painted/transparent/07-skull-knucklebones.png,ok,"Две кости: на грани-шестёрке череп, на остальных гранях точки. Соответствует описанию."
13,13,beast-tooth,Зуб неизвестного зверя,A tooth from an unknown beast,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/13-beast-tooth.png,icons/painted/transparent/13-beast-tooth.png,ok,Крупный клык с трещинами и тёмным корнем. Соответствует: зуб неизвестного зверя.
14,14,dragon-scale,"Огромная чешуйка, возможно, драконья","An enormous scale, perhaps from a dragon","«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/14-dragon-scale.png,icons/painted/transparent/14-dragon-scale.png,ok,Одна большая чешуйка с наростами и сколотым краем. Соответствует: огромная чешуйка.
15,15,green-feather,Ярко-зелёное перо,A bright green feather,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/15-green-feather.png,icons/painted/transparent/15-green-feather.png,ok,Одно ярко-зелёное перо. Соответствует описанию.
17,17,smoke-orb,"Стеклянная сфера, заполненная дымом",A glass orb filled with moving smoke,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/17-smoke-orb.png,icons/painted/transparent/17-smoke-orb.png,fixed,"Было: сфера на витой латунной подставке. Убрано, потому что в описании только сфера с дымом: теперь стеклянная сфера без подставки и крепления."
23,23,rune-etched-brass-orb,"Латунная сфера, покрытая странными рунами",A brass orb etched with strange runes,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/23-rune-etched-brass-orb.png,icons/painted/transparent/23-rune-etched-brass-orb.png,fixed,"Было: сфера с подвесным кольцом сверху. Убрано, потому что в описании только сфера с рунами: теперь латунный шар без кольца, крепления и подставки."
43,43,silver-bell-without-clapper,Крохотный серебряный колокольчик без язычка,A tiny silver bell without a clapper,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/43-silver-bell-without-clapper.png,icons/painted/transparent/43-silver-bell-without-clapper.png,ok,"Серебряный колокольчик наклонён, видно пустую внутренность — язычка нет. Соответствует описанию."
44,44,gnomish-canary-lamp,Механическая канарейка в гномьей лампе,A mechanical canary inside a gnomish lamp,"«Книга игрока» — Безделушки (к100). Официальный перевод Hobby Games, стр. 159.",icons/painted/44-gnomish-canary-lamp.png,icons/painted/transparent/44-gnomish-canary-lamp.png,ok,Гномий фонарь с механической канарейкой внутри (видны шестерёнки и открытый клюв). Соответствует описанию.
